,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
292,2006-05,36.6,14.0,205.7
293,2006-06,37.3,16.0,236.8
294,2006-07,54.8,15.0,153.8
295,2006-08,30.4,14.0,127.3
296,2006-09,32.2,12.0,83.3
297,2006-10,37.8,8.0,102.0
298,2006-11,64.0,18.0,185.6
299,2006-12,198.0,22.0,765.9
300,2007-01,143.8,20.0,450.1
301,2007-02,51.4,3.0,105.5
302,2007-03,68.8,21.0,269.1
303,2007-04,102.4,14.0,240.2
304,2007-05,21.9,16.0,127.2
305,2007-06,38.0,12.0,139.0
306,2007-07,23.0,19.0,141.7
307,2007-08,55.9,20.0,190.7
308,2007-09,52.1,13.0,149.0
309,2007-10,51.8,16.0,237.2
310,2007-11,60.1,21.0,367.9
311,2007-12,159.0,20.0,468.6
312,2008-01,123.1,19.0,262.6
313,2008-02,48.5,8.0,129.2
314,2008-03,48.1,16.0,294.1
315,2008-04,34.2,13.0,87.2
316,2008-05,42.3,11.0,124.9
317,2008-06,45.2,12.0,118.3
318,2008-07,23.5,15.0,89.1
319,2008-08,133.9,18.0,327.3
320,2008-09,43.5,18.0,164.4
321,2008-10,41.6,19.0,159.5
322,2008-11,63.3,16.0,324.3
323,2008-12,52.0,17.0,244.2
324,2009-01,36.0,5.0,38.3
325,2009-02,74.2,8.0,201.8
326,2009-03,56.3,19.0,223.3
327,2009-04,86.6,12.0,183.7
328,2009-05,41.3,17.0,198.6
329,2009-06,5.8,8.0,21.8
330,2009-07,24.4,16.0,161.0
331,2009-08,35.5,12.0,177.8
332,2009-09,63.0,13.0,109.6
333,2009-10,38.4,15.0,133.4
334,2009-11,61.4,23.0,281.8
335,2009-12,42.6,18.0,189.8
336,2010-01,24.5,10.0,69.5
337,2010-02,2.9,4.0,6.3
338,2010-03,57.6,11.0,238.0
339,2010-04,40.0,18.0,158.5
340,2010-05,90.5,17.0,157.5
341,2010-06,43.0,19.0,240.5
342,2010-07,121.1,18.0,298.5
343,2010-08,60.2,16.0,158.4
344,2010-09,28.0,13.0,121.5
345,2010-10,58.1,17.0,166.2
346,2010-11,41.6,21.0,278.8
347,2010-12,85.8,14.0,181.4
348,2011-01,216.2,17.0,513.2
349,2011-02,17.4,8.0,23.0
350,2011-03,54.0,22.0,256.6
351,2011-04,61.8,12.0,217.8
352,2011-05,34.2,15.0,127.0
353,2011-06,82.0,15.0,213.0
354,2011-07,30.0,7.0,76.6
355,2011-08,30.2,13.0,81.4
356,2011-09,40.4,14.0,136.4
357,2011-10,54.0,20.0,216.8
358,2011-11,78.6,24.0,377.8
359,2011-12,87.4,21.0,284.6
360,2012-01,26.2,16.0,106.1
361,2012-02,38.4,11.0,83.6
362,2012-03,92.3,21.0,313.4
363,2012-04,48.4,20.0,260.6
364,2012-05,79.2,19.0,292.0
365,2012-06,38.2,8.0,53.0
366,2012-07,35.4,17.0,130.8
367,2012-08,31.0,12.0,119.0
368,2012-09,35.8,10.0,107.6
369,2012-10,22.6,13.0,122.2
370,2012-11,49.2,22.0,208.2
371,2012-12,78.8,22.0,363.4
372,2013-01,73.0,15.0,262.0
373,2013-02,95.2,22.0,395.2
374,2013-03,29.6,10.0,85.8
375,2013-04,41.6,19.0,159.4
376,2013-05,46.2,17.0,211.4
377,2013-06,22.4,12.0,111.4
378,2013-07,37.4,15.0,174.6
379,2013-08,43.2,15.0,165.6
380,2013-09,52.6,19.0,257.0
381,2013-10,139.8,19.0,285.4
382,2013-11,44.0,22.0,292.4
383,2013-12,119.8,21.0,348.2
384,2014-01,31.2,5.0,75.4
385,2014-02,0.2,1.0,0.2
386,2014-03,52.6,6.0,66.0
387,2014-04,28.8,17.0,110.0
388,2014-05,22.2,18.0,125.8
389,2014-06,18.8,11.0,71.4
