month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp
1988-06,69.4,13,252.2,81.6,6.5,28
1988-07,75.6,15,305.4,84,6,27.3
1988-08,19,14,80.1,84.9,4.9,27
1988-09,187.3,14,440.4,84.5,4.8,27.1
1988-10,39.8,17,134.6,83.2,4.1,27.5
1988-11,111.9,23,401.4,86.8,3.7,26.3
1988-12,22,11,62.9,81.1,5.7,26.2
1989-01,53,10,189.7,84.1,5.8,26.5
1989-02,48.4,3,52.4,78.3,6.7,26.6
1989-03,63.5,21,305.9,87.6,4.5,26.3
1989-04,39,17,198.6,86.4,5.7,27
1989-05,38.2,12,194,86.6,5.2,27.3
1989-06,45.9,12,117.6,83.3,6,27.5
1989-07,33.3,12,157.6,82.6,6,27.7
1989-08,81.4,18,201,83.7,5.3,27.1
1989-09,102.2,14,247.3,84.4,5.5,26.9
1989-10,24.9,16,111,83.7,5.5,27.1
1989-11,148.6,20,508.4,86,5.4,26.7
1989-12,44.2,18,179.7,85.5,4.8,26.3
1990-01,73.9,13,147.4,83.8,5.3,26.2
1990-02,6.6,8,24.1,80.9,8.9,27.6
1990-03,48.6,4,94.2,77.6,8.3,28.2
1990-04,12,10,52.4,81.2,6.3,28.5
1990-05,153.7,11,180.1,81.1,6.5,28.6
1990-06,76.1,9,112.6,80.7,6.3,28.3
1990-07,44.5,12,124,82.7,5.9,27.5
1990-08,38.3,13,146.6,82.3,5.8,28
1990-09,44.5,17,204.5,83.2,5.1,27.2
1990-10,20.2,12,56.4,83.5,5.9,27.5
1990-11,46.9,17,180.4,83.5,4.6,27.2
1990-12,33.5,16,201.1,86,5.5,26.3
1991-01,36.2,13,123.9,84.1,5.6,26.7
1991-02,17.9,7,45.5,81.6,7,27.1
1991-03,48.6,10,92.4,79.9,7.1,27.8
1991-04,32.2,13,134.2,84.3,5.8,27.7
1991-05,44,23,256.4,86.6,5.1,27.7
1991-06,55.6,9,88.7,81,7.1,28.6
1991-07,10.7,8,37.3,78.7,6.7,28.5
1991-08,129.9,8,226.2,79.8,5.3,28.2
1991-09,53.6,12,123.1,83,4.1,27.5
1991-10,20.4,5,52,81.4,4.2,27.5
1991-11,75.2,19,205,86.5,3.5,26.3
1991-12,79.4,19,492.3,90.7,3,25.6
1992-01,56.2,9,83.9,82.4,6.6,26.6
1992-02,43.2,4,62.4,80.5,7.7,27.5
1992-03,35.1,6,67.6,80.6,7.4,28.2
1992-04,94.7,13,160.3,82.4,6.4,28.4
1992-05,13.7,13,63.1,83.3,5.7,28.1
1992-06,38.4,14,162.8,82.7,5.5,28
1992-07,97.3,19,290.8,83.8,4.7,27.3
1992-08,31,11,76.1,81.1,5.7,27.8
1992-09,17.5,13,83.6,82.9,5,27.3
1992-10,45.5,20,233.2,82,4.5,27.4
1992-11,120.6,18,474.3,87.7,3.7,26.1
1992-12,105.7,23,502.7,90.3,3.4,25.5
1993-01,37.2,11,176.4,85.7,5.5,26.2
1993-02,27,8,69.2,80.5,8.5,26.7
1993-03,56.9,14,250.5,86.3,5.4,26.7
1993-04,56.7,20,283.9,84.5,6.4,27.6
1993-05,37.2,10,129.9,82.9,6,28.2
1993-06,29.4,17,115.5,80.9,6.2,28.5
1993-07,46.4,15,240,83.2,5.2,27.9
1993-08,53.5,11,106.8,79.4,7.4,28.6
1993-09,42,7,61.7,81.4,5.9,27.9
1993-10,62.7,13,175.5,84.3,5.2,27.5
1993-11,61.3,18,250.8,87.4,4.7,26.9
1993-12,67.6,19,308.5,87.4,4.2,26.5
1994-01,17.5,7,56.9,82.1,6.1,26.9
1994-02,26.3,15,133.5,84.5,6.4,27
1994-03,64.2,19,288.2,87.1,3.5,26.8
1994-04,46.3,15,154,84.8,5.8,27.9
1994-05,45.1,16,169.6,84.8,5,28.1
1994-06,61.1,14,184.7,83.5,6,28.1
1994-07,17,6,53.8,78.9,7.6,28.4
1994-08,15.5,12,45.1,80,6.5,28.1
1994-09,11.3,6,23.7,78.7,3.8,28.3
1994-10,35.4,11,84.7,81.5,4.5,27.9
1994-11,178.3,21,322.2,88.4,4.5,26.7
1994-12,133.8,18,425.4,85.5,5.3,26.9
1995-01,108.3,21,349.4,86.2,5,26.8
1995-02,159.3,16,334,87.5,4.9,26.5
1995-03,31.1,10,67.7,83.9,5.9,27.6
1995-04,73.6,16,242.3,85.3,5.6,27.9
1995-05,32.8,11,84.4,83.7,6,28.5
1995-06,45,12,63.7,81.9,6.6,28.9
1995-07,52.3,13,173.6,82.6,5.2,28
1995-08,37.9,21,211.6,85.6,4.1,27.4
1995-09,5.7,7,29.5,81.6,5.8,28.3
1995-10,37.1,12,101.1,82.8,4.7,27.8
1995-11,198.6,20,372.8,86.8,3.7,27
1995-12,55.6,20,302.5,86.6,3.1,26.3
1996-01,39,10,173.2,84.2,5.2,26.2
1996-02,53,11,180.2,84.6,5.8,26.5
1996-03,61.8,8,129.7,81,7.7,27.8
1996-04,55.7,15,178.2,85.5,5.4,27.8
1996-05,18.6,15,107.5,83.7,7,28.5
1996-06,94.3,15,265.8,84.3,5.9,28.3
1996-07,55.3,10,162.3,81.9,6.7,28.3
1996-08,64.6,18,258.4,83.4,5,27.4
1996-09,66.5,18,297,82.2,4.8,27.7
1996-10,45.8,19,300,83,4.3,27.5
1996-11,60.5,16,180.2,83.5,4.4,27.3
1996-12,72.4,15,185.5,82.9,4.5,26.6
1997-01,13.9,3,15.4,77.3,7.7,27.1
1997-02,35.7,8,105.4,80.8,4.9,27.4
1997-03,17.4,10,34.3,79.6,7,28.1
1997-04,44.6,12,118.4,82.7,5.6,28.1
1997-05,35.6,6,41.6,77.7,6.7,29.3
1997-06,25,12,78.9,76.7,7.3,29.3
1997-07,5.4,9,18.6,76.5,6.5,28.8
1997-08,61.4,9,86.6,78.2,5.7,28.8
1997-09,24.3,3,31.1,77,3.2,28.8
1997-10,36.5,8,78.4,81,3.2,28.2
1997-11,53.6,13,158.3,82.8,5.4,27.8
1997-12,65.8,23,351.9,85.3,5.3,27.3
1998-01,79.7,13,268.8,83.2,7.4,28
1998-02,11.9,5,32.5,78.3,8.9,28.9
1998-03,20.9,7,58.8,77.8,7.6,29.5
1998-04,64.9,13,187.7,81.8,6.7,29.2
1998-05,83.7,18,370.8,82.3,5.9,29.4
1998-06,42.8,15,198.8,82.1,5.3,28.6
1998-07,55.8,18,259.2,81.8,5.1,28.1
1998-08,35.5,18,195,85.4,4.6,27.5
1998-09,52,17,258.2,84.1,4.5,27.9
1998-10,32.4,20,222.7,82.3,5,28
1998-11,57.5,11,107.2,81.9,4.6,27.9
1998-12,84.4,22,463.4,88.5,3.1,26.6
1999-01,52.5,19,193.9,88.3,3.9,26.6
1999-02,32.1,9,67.4,82.4,6.7,27.2
1999-03,52.4,16,181.4,87.5,4.3,27.1
1999-04,29.2,14,88.5,82.6,5.8,28.3
1999-05,42.8,13,157.1,84.4,5.7,28
1999-06,34.5,13,103.4,81.9,6,28.2
1999-07,51.4,11,225.4,82.7,6.8,27.8
1999-08,42.4,13,204,84.1,5.7,27.5
1999-09,41.5,13,125.9,81.7,6.5,27.9
1999-10,32.8,20,205,84.6,4.7,27.2
1999-11,39,19,241.5,84.4,4.7,27.3
1999-12,76.9,17,340.5,85.3,4.1,26.8
2000-01,127.6,14,275.2,86.9,4,26.3
2000-02,39.9,18,237.8,86.5,5.8,26.6
2000-03,37.9,15,238.3,85.8,5.8,27.2
2000-04,87.4,20,311.6,85.6,5.3,27.5
2000-05,36.7,10,96.8,82.4,6.8,28.6
2000-06,41.7,16,157.5,84.3,4.6,27.6
2000-07,34.6,12,116.1,82.6,6.5,28.1
2000-08,28.1,18,113.5,83.8,5.1,27.5
2000-09,25.7,12,81.1,82.2,6.2,28
2000-10,38.3,14,120.9,82.1,4,27.8
2000-11,72,21,385.7,87.1,3.7,27.3
2000-12,45.8,18,236,87.6,4.2,27
2001-01,125.4,21,425.8,87.4,4.4,26.5
2001-02,28.2,11,86.6,83.6,4.8,27
2001-03,41.1,20,297.3,84.5,5.4,27.5
2001-04,68.9,18,203.3,86,5.3,27.7
2001-05,56.1,12,164.9,85,6,28.5
2001-06,49.6,11,137.1,82.5,4.9,28.2
2001-07,44.8,9,111.3,80.8,8.1,28.4
2001-08,36.6,14,158.3,83.7,4.9,28
2001-09,74.3,13,162,82.3,6.2,28
2001-10,77.2,20,252.2,83.7,4.4,27.6
2001-11,102.6,15,175.3,84.9,3.7,27.2
2001-12,211.1,20,609,86.8,4.5,26.7
2002-01,83.8,11,221.2,83.6,6.9,27
2002-02,41.7,2,50.8,80.9,7.4,27.3
2002-03,26.4,8,55.6,80.8,7.6,28.2
2002-04,39.4,13,116.5,82.3,6.6,28.6
2002-05,75.9,13,236.6,82.3,6.2,28.9
2002-06,45.8,12,83.1,82.1,6.3,28.7
2002-07,69.5,11,233.7,82.7,6.8,28.4
2002-08,17.8,14,54.2,79.2,6.7,28.5
2002-09,38.9,9,124.2,81.7,5.5,28.1
2002-10,3.2,7,10.8,79.8,6.2,28.7
2002-11,84,15,307.2,85.8,4.6,27.4
2002-12,38.6,24,255,88.7,4.8,27.2
2003-01,194.4,20,444.2,86.9,4.7,26.7
2003-02,82.2,13,172.9,85,5.8,27.1
2003-03,38.3,11,154.6,83.8,6.9,28.1
2003-04,42.9,20,159.9,86.7,5.1,27.9
2003-05,33,11,81.8,81.7,5.8,29.2
2003-06,23.2,12,50.3,78.5,7,28.9
2003-07,30.9,14,170.4,81.7,5.6,28.1
2003-08,64.4,13,193.6,83.1,6.1,28.2
